#? missing-barcode-reads=0
#? missing-F3-reads=0
##Library	Barcode	0 Mismatches	1 Mismatch	Total
S16_03	3	57144987	6320632	63465619
S16_03	Subtotals	57144987	6320632	63465619
S16_02	2	53500261	5714556	59214817
S16_02	Subtotals	53500261	5714556	59214817
S16_08	8	44530129	5053939	49584068
S16_08	Subtotals	44530129	5053939	49584068
S16_01	1	53763963	5924173	59688136
S16_01	Subtotals	53763963	5924173	59688136
S16_04	4	41720976	4366236	46087212
S16_04	Subtotals	41720976	4366236	46087212
S16_05	5	49995943	5629970	55625913
S16_05	Subtotals	49995943	5629970	55625913
S16_07	7	40732147	4468089	45200236
S16_07	Subtotals	40732147	4468089	45200236
S16_06	6	39608534	4202616	43811150
S16_06	Subtotals	39608534	4202616	43811150
unassigned	01233	34388	920034	954422
unassigned	03020	31737	849881	881618
unassigned	10002	51891	1061719	1113610
unassigned	12213	31027	784594	815621
unassigned	20131	34208	922759	956967
unassigned	22320	46786	940105	986891
unassigned	31302	37407	965693	1003100
unassigned	33111	53780	1003830	1057610
unassigned	unresolved	NA	NA	16295841
unassigned	Subtotals	321224	7448615	24065680
All Beads	Totals	381318164	49128826	446742831
