# Generated by: CountSamPositionErrors(-t,F3,-o,/panfs/imb/seq_mapped/S0414_20100607_2_FragBC/20101209/position_errors/S0414_20100607_2_FragBC_bcA10_01.wt_F3_positionErrors.txt,-r,/panfs/imb/share/genomes/GRCh37_ICGC_standard_v2/GRCh37_ICGC_standard_v2.fa,-s,1,-b,false,/panfs/imb/seq_mapped/S0414_20100607_2_FragBC/20101209/mapping/S0414_20100607_2_FragBC_bcA10_01.wt.bam)
# Version: Bioscope version: bioscope-v1.2.1-rBS121_Final_47775_20100625065850 
# Date: 12/09/2010 04:19 PM
#? Sampling period = 1
#? Total read positions = 483680450
#? Missing color calls = 1056754
# Unresolved reference positions 478
##position_[refCall][readCall]	nErrors	nReadOccurrences	Error frequency
1_01	8661	1439778	0.0060
1_02	19571	2320882	0.0084
1_03	12227	3712187	0.0033
1_10	10353	2200724	0.0047
1_12	11404	2320882	0.0049
1_13	18237	3712187	0.0049
1_20	18480	2200724	0.0084
1_21	6443	1439778	0.0045
1_23	29468	3712187	0.0079
1_30	13265	2200724	0.0060
1_31	32103	1439778	0.0223
1_32	24586	2320882	0.0106
2_01	18485	2451164	0.0075
2_02	19525	2725597	0.0072
2_03	8086	2104087	0.0038
2_10	11870	2363521	0.0050
2_12	8873	2725597	0.0033
2_13	39065	2104087	0.0186
2_20	22678	2363521	0.0096
2_21	7026	2451164	0.0029
2_23	18555	2104087	0.0088
2_30	5369	2363521	0.0023
2_31	13703	2451164	0.0056
2_32	6488	2725597	0.0024
3_01	4183	1900526	0.0022
3_02	5315	2965390	0.0018
3_03	4190	2042662	0.0021
3_10	6458	2763530	0.0023
3_12	2796	2965390	0.0009
3_13	7181	2042662	0.0035
3_20	10126	2763530	0.0037
3_21	2789	1900526	0.0015
3_23	7186	2042662	0.0035
3_30	3809	2763530	0.0014
3_31	4267	1900526	0.0022
3_32	2873	2965390	0.0010
4_01	9996	2573141	0.0039
4_02	12192	2471131	0.0049
4_03	6934	2555272	0.0027
4_10	3604	2067105	0.0017
4_12	3117	2471131	0.0013
4_13	5868	2555272	0.0023
4_20	6218	2067105	0.0030
4_21	3695	2573141	0.0014
4_23	4755	2555272	0.0019
4_30	3131	2067105	0.0015
4_31	5343	2573141	0.0021
4_32	2697	2471131	0.0011
5_01	3402	2241240	0.0015
5_02	8371	2457236	0.0034
5_03	5817	2516945	0.0023
5_10	4290	2457328	0.0017
5_12	8628	2457236	0.0035
5_13	10742	2516945	0.0043
5_20	14091	2457328	0.0057
5_21	7860	2241240	0.0035
5_23	31352	2516945	0.0125
5_30	4533	2457328	0.0018
5_31	5133	2241240	0.0023
5_32	6010	2457236	0.0024
6_01	13263	2347973	0.0056
6_02	8526	2856405	0.0030
6_03	27383	1890787	0.0145
6_10	9469	2578263	0.0037
6_12	4876	2856405	0.0017
6_13	14956	1890787	0.0079
6_20	10651	2578263	0.0041
6_21	3212	2347973	0.0014
6_23	15302	1890787	0.0081
6_30	4254	2578263	0.0016
6_31	1944	2347973	0.0008
6_32	1491	2856405	0.0005
7_01	7851	2438994	0.0032
7_02	9942	2792897	0.0036
7_03	4677	1811740	0.0026
7_10	17598	2628973	0.0067
7_12	12364	2792897	0.0044
7_13	9899	1811740	0.0055
7_20	13070	2628973	0.0050
7_21	12265	2438994	0.0050
7_23	7405	1811740	0.0041
7_30	7741	2628973	0.0029
7_31	8992	2438994	0.0037
7_32	5309	2792897	0.0019
8_01	18538	2109554	0.0088
8_02	13833	2057437	0.0067
8_03	9790	2017754	0.0049
8_10	11234	3488591	0.0032
8_12	5682	2057437	0.0028
8_13	9526	2017754	0.0047
8_20	13496	3488591	0.0039
8_21	5798	2109554	0.0027
8_23	5970	2017754	0.0030
8_30	8312	3488591	0.0024
8_31	6187	2109554	0.0029
8_32	1981	2057437	0.0010
9_01	5517	2089674	0.0026
9_02	10488	2436225	0.0043
9_03	12376	1955936	0.0063
9_10	6467	3186177	0.0020
9_12	5346	2436225	0.0022
9_13	15619	1955936	0.0080
9_20	14195	3186177	0.0045
9_21	4505	2089674	0.0022
9_23	19847	1955936	0.0101
9_30	9891	3186177	0.0031
9_31	9282	2089674	0.0044
9_32	8095	2436225	0.0033
10_01	17754	1960792	0.0091
10_02	12575	2449908	0.0051
10_03	47309	2450522	0.0193
10_10	9996	2810861	0.0036
10_12	5231	2449908	0.0021
10_13	18508	2450522	0.0076
10_20	20337	2810861	0.0072
10_21	11350	1960792	0.0058
10_23	43806	2450522	0.0179
10_30	8638	2810861	0.0031
10_31	5843	1960792	0.0030
10_32	2310	2449908	0.0009
11_01	6715	2274683	0.0030
11_02	9162	2286269	0.0040
11_03	11741	2041753	0.0058
11_10	13849	3070714	0.0045
11_12	6286	2286269	0.0027
11_13	18428	2041753	0.0090
11_20	16599	3070714	0.0054
11_21	7958	2274683	0.0035
11_23	16920	2041753	0.0083
11_30	22419	3070714	0.0073
11_31	16047	2274683	0.0071
11_32	8868	2286269	0.0039
12_01	14996	2637952	0.0057
12_02	9203	2401665	0.0038
12_03	9986	1963410	0.0051
12_10	19157	2669848	0.0072
12_12	9194	2401665	0.0038
12_13	13718	1963410	0.0070
12_20	18073	2669848	0.0068
12_21	20310	2637952	0.0077
12_23	15538	1963410	0.0079
12_30	9399	2669848	0.0035
12_31	13642	2637952	0.0052
12_32	3562	2401665	0.0015
13_01	8263	2090874	0.0040
13_02	11835	2671607	0.0044
13_03	24284	2038575	0.0119
13_10	9078	2871190	0.0032
13_12	10413	2671607	0.0039
13_13	37430	2038575	0.0184
13_20	12541	2871190	0.0044
13_21	6404	2090874	0.0031
13_23	31413	2038575	0.0154
13_30	8609	2871190	0.0030
13_31	10355	2090874	0.0050
13_32	6614	2671607	0.0025
14_01	33330	2386233	0.0140
14_02	17316	2181342	0.0079
14_03	11454	1845956	0.0062
14_10	10102	3259827	0.0031
14_12	16855	2181342	0.0077
14_13	10287	1845956	0.0056
14_20	9540	3259827	0.0029
14_21	18153	2386233	0.0076
14_23	4743	1845956	0.0026
14_30	5824	3259827	0.0018
14_31	21147	2386233	0.0089
14_32	6072	2181342	0.0028
15_01	33843	2444387	0.0138
15_02	12178	2116481	0.0058
15_03	106450	2183851	0.0487
15_10	6784	2928806	0.0023
15_12	7246	2116481	0.0034
15_13	37954	2183851	0.0174
15_20	11038	2928806	0.0038
15_21	22764	2444387	0.0093
15_23	32905	2183851	0.0151
15_30	4076	2928806	0.0014
15_31	9398	2444387	0.0038
15_32	1990	2116481	0.0009
16_01	7045	2440278	0.0029
16_02	14975	2504685	0.0060
16_03	12678	1907950	0.0066
16_10	20661	2820552	0.0073
16_12	25586	2504685	0.0102
16_13	22143	1907950	0.0116
16_20	30124	2820552	0.0107
16_21	15210	2440278	0.0062
16_23	18370	1907950	0.0096
16_30	11532	2820552	0.0041
16_31	6542	2440278	0.0027
16_32	10878	2504685	0.0043
17_01	7891	2255388	0.0035
17_02	12240	2441723	0.0050
17_03	20602	2017131	0.0102
17_10	27595	2959206	0.0093
17_12	14308	2441723	0.0059
17_13	56311	2017131	0.0279
17_20	25872	2959206	0.0087
17_21	8006	2255388	0.0035
17_23	42809	2017131	0.0212
17_30	22873	2959206	0.0077
17_31	9032	2255388	0.0040
17_32	8497	2441723	0.0035
18_01	33409	2427118	0.0138
18_02	12984	2678903	0.0048
18_03	11210	1719579	0.0065
18_10	17065	2847961	0.0060
18_12	8135	2678903	0.0030
18_13	12128	1719579	0.0071
18_20	15987	2847961	0.0056
18_21	39852	2427118	0.0164
18_23	8594	1719579	0.0050
18_30	11627	2847961	0.0041
18_31	33462	2427118	0.0138
18_32	5415	2678903	0.0020
19_01	10674	2870581	0.0037
19_02	25174	2225379	0.0113
19_03	11343	1876262	0.0060
19_10	15945	2696721	0.0059
19_12	26258	2225379	0.0118
19_13	18688	1876262	0.0100
19_20	34777	2696721	0.0129
19_21	16273	2870581	0.0057
19_23	19423	1876262	0.0104
19_30	16906	2696721	0.0063
19_31	9290	2870581	0.0032
