--------------
ALIGNMENT REPORT
--------------

Counts:
Total reads:                                                     28,871,688    (100.0%)
Reads mapped:                                                    18,597,151    ( 64.4%)
Reads filtered:                                                  10,562,593    ( 36.6%)
-----
Reads mapped, not filtered                                        9,673,609    (100.0%)
Reads with too many mappings (N >= 10):                             965,925    ( 10.0%)
Reads with number of mappings in proper range (N < 10):           8,707,684    ( 90.0%)
Reads uniquely aligned (score.clear.zone =  3):                   7,057,331    ( 73.0%)
Reads uniquely aligned to junctions                                 391,203    (  4.0%)
Reads uniquely aligned to known junctions                           391,203    (  4.0%)

ABSOLUTE FREQUENCIES
Alignment_Score	All_Read_Alignments_(N_=_31965399)	Primary_Read_Alignments_(N_=_9673609)	Unique_Read_Alignments_(N_=_7057331)
0.0	0	0	0
1.0	0	0	0
2.0	0	0	0
3.0	0	0	0
4.0	0	0	0
5.0	0	0	0
6.0	0	0	0
7.0	0	0	0
8.0	0	0	0
9.0	0	0	0
10.0	0	0	0
11.0	0	0	0
12.0	0	0	0
13.0	0	0	0
14.0	0	0	0
15.0	0	0	0
16.0	0	0	0
17.0	38	12	0
18.0	1168819	473286	0
19.0	650591	240538	0
20.0	427524	135893	0
21.0	567090	145510	67633
22.0	378360	94431	46518
23.0	350090	73988	40433
24.0	448899	95723	55666
25.0	520753	102974	65548
26.0	523420	95608	62894
27.0	506819	95141	63695
28.0	723214	133581	97784
29.0	543327	103145	75052
30.0	546434	110907	82467
31.0	977806	190065	148362
32.0	581492	114779	89054
33.0	550370	123612	97713
34.0	1173143	261113	209816
35.0	563493	119210	94762
36.0	496587	141177	116469
37.0	1604740	358055	293687
38.0	529785	117869	95228
39.0	509675	165819	142769
40.0	1879943	491918	411462
41.0	512359	120936	99596
42.0	474155	156674	135535
43.0	2803511	816906	683870
44.0	459183	125532	104639
45.0	378736	128069	106151
46.0	3232571	1104834	919242
47.0	391275	102793	83986
48.0	270884	108691	87903
49.0	7220313	3024820	2479397
50.0	0	0	0
Total	31965399	9673609	7057331

RELATIVE FREQUENCIES
Alignment_Score	All_Read_Alignments_(N_=_31965399)	Primary_Read_Alignments_(N_=_9673609)	Unique_Read_Alignments_(N_=_7057331)
0.0	0.0%	0.0%	0.0%
1.0	0.0%	0.0%	0.0%
2.0	0.0%	0.0%	0.0%
3.0	0.0%	0.0%	0.0%
4.0	0.0%	0.0%	0.0%
5.0	0.0%	0.0%	0.0%
6.0	0.0%	0.0%	0.0%
7.0	0.0%	0.0%	0.0%
8.0	0.0%	0.0%	0.0%
9.0	0.0%	0.0%	0.0%
10.0	0.0%	0.0%	0.0%
11.0	0.0%	0.0%	0.0%
12.0	0.0%	0.0%	0.0%
13.0	0.0%	0.0%	0.0%
14.0	0.0%	0.0%	0.0%
15.0	0.0%	0.0%	0.0%
16.0	0.0%	0.0%	0.0%
17.0	0.0%	0.0%	0.0%
18.0	3.7%	4.9%	0.0%
19.0	2.0%	2.5%	0.0%
20.0	1.3%	1.4%	0.0%
21.0	1.8%	1.5%	1.0%
22.0	1.2%	1.0%	0.7%
23.0	1.1%	0.8%	0.6%
24.0	1.4%	1.0%	0.8%
25.0	1.6%	1.1%	0.9%
26.0	1.6%	1.0%	0.9%
27.0	1.6%	1.0%	0.9%
28.0	2.3%	1.4%	1.4%
29.0	1.7%	1.1%	1.1%
30.0	1.7%	1.1%	1.2%
31.0	3.1%	2.0%	2.1%
32.0	1.8%	1.2%	1.3%
33.0	1.7%	1.3%	1.4%
34.0	3.7%	2.7%	3.0%
35.0	1.8%	1.2%	1.3%
36.0	1.6%	1.5%	1.7%
37.0	5.0%	3.7%	4.2%
38.0	1.7%	1.2%	1.3%
39.0	1.6%	1.7%	2.0%
40.0	5.9%	5.1%	5.8%
41.0	1.6%	1.3%	1.4%
42.0	1.5%	1.6%	1.9%
43.0	8.8%	8.4%	9.7%
44.0	1.4%	1.3%	1.5%
45.0	1.2%	1.3%	1.5%
46.0	10.1%	11.4%	13.0%
47.0	1.2%	1.1%	1.2%
48.0	0.8%	1.1%	1.2%
49.0	22.6%	31.3%	35.1%
50.0	0.0%	0.0%	0.0%
Total	100.0%	100.0%	100.0%

